"@_FerFarias jajaja nah solo se me hacia bonita, equis jajaja",O
Por fin regreso el internet a mi casa por fin!! :'),P
Me siento tan vacía.,N
@migahaaz @la_ovni neta aldito me creerías capaz de hacer eso??? Jajajajaja son los alucines de jackelina con el arenero de kittydi q esta,O
Carteles colgaré para mostrarte como debe de ser.,O
Sudar hasta sentir que estas bajó la regadera... ??????????,O
SI ME SIGUES TE SEGUIRE QUIERES PROVAR SOLO TE TOMARA 5 SEGUNDOS Y SI NO TE SEGUI DEJA DE SEGUIRME..,O
Hoy si me voy a tomar la noche!,P
Pide menos likes y lee más.,O
@SuperboletosMx puntos de venta para los boletos de slava's snow show?,O
":D ya se donde es, solo es cosa de que se animen todos :) tu ya súper puesta @vhiG_  ?? @tequesquitengo",P
Parmesano y jamon porfavor.. (@ Subway) http://t.co/PCxPJZROwn,P
Por fin! No veía la hora en que se acabara el semestre! Ahora a dormir todo lo que no he dormido en 3 semanas,P
Mi casita! :) (@ Barrio San Miguel) http://t.co/v6mpdTVdUw,P
“@ChisteSorpresa: ¿Recuerdas nuestro primer día juntos? ¿Nuestra primera sonrisa? ¿Nuestra primera mirada? Yo nunca lo olvidaré.”,P
Que no daría por salir corriendo a donde tu estas..,O
@CaroRodriguuez ya me ire pues,O
Impresionante… @ Museo Memoria y Tolerancia http://t.co/7FDHoA0N7W,P
"Emmanuel, evita comentar eso.",N
"#weather Right now the weather in Tequixquiac, México is Lluvia débil con truenos and 17°C #tequixquiac #mexico",O
@punk_cm99 bueno:3,P
@Jacovich_GMA @Alessa73 @Washingtongue @ManceraMiguelMX NO ME OFENDAN A @ManceraMiguelMX ES QUE OCUPA ENCUESTADORES DE @lopezobrador_ JAJAJA,N
"@pautappia Jaja u_u gracias, pero ese gym es del diablo D:",N
#Mis15Debilidades el flan napolitano,O
Tengo ganas de que mi novio me de un súper abrazo :'/,O
"Como ya es costumbre, no tengo nada que hacer -.- Estoy Aburrida :( http://t.co/CHYONROljk",N
Que feo se siente :/,N
@DonRambaro @Gabo_stk1974 En la cuidad les decimos cacomixtles jajajajajaja,P
@LupitaDDe que tarea tenemos !?,O
#CruzAzulCampeon ?,P
"@EsaLuu__ jajajaja, te amo más bebechi.",P
@072GDF @ManceraMiguelMX @Sacmex si es pasando perisur a la altura de la iglesia dirección sur / norte,O
"@YaeloGeded @monicabarroso1 @AlanVargasSaenz @maluisa_barroso pussy. No te laves las manos, yo quería hacerlo primero... hahaha ;)",O
Ver tu retícula de estudios y sentir que vas morir con 36 materias de matemáticas,O
@ESPN_Beisbol: #MiércolesSabermétrico ¿Quién es el jugador con mejor combinación de poder y Velocidad en la Liga Nacional? Carlos González,O
Quisiera amarte menos por que esto ya no es vida. Mi vida está perdida de tanto quererte...,N
Alejate procastinación de este cuerpo chambeador,O
"@ClaudiaGalvan_ Me paso de todo changuis de todo, no te imaginas ????",N
@iHuesitos_13 neeeee'h no le tengo miedo e.e jaja ok no cierto si cierto ._.,P
@_mariarod6 pinche insanity wey lol,P
@osoriojua   esta hermoso como lo pongan  @xqElAmorMandam,P
“@fcogrimaldo: @veroniqueslp ¬¬ irás a pracricar canotaje por el Boulevard verdad???” ya seeee!!! ??????,O
#ElGranTruco es vomitar después de comer para no engordar. De nada.,N
Otra en vinil... @ CAF impresiones http://t.co/zgFxdkiNfG,O
@GabiithaRi igual a ti. ??,O
Nose si vive o muere,O
Ya llegué jefa! (@ Tinajero's Home) http://t.co/laBURodsSz,O
@Areyouafucker jajajajaja!!! estas loquito pero algo diferente no? Jaaaj puede ser jaha,P
Tu me gustas como para que ya nadie mas me vuelva a gustar.,P
@chiviinvasora @ElRecodoOficial Gracias por complcr siempre bella noche ;-),P
