"I'm at Centro de Información y Documentación Acatlan - @fes_acatlan (Naucalpan, MEX) http://t.co/QYyTyLR1uE",O
Miercoles con M de Maldita sea ya me quiero ir.,N
@LaloRs_ UpuntoU me dolia mucho la rodilla:( oye me cortaste la boca con los chicharrones de ayer :'(,N
“@revistaproceso: Palazuelos pasa de actor de telenovelas a líder de hoteleros en Tulum http://t.co/DJRAL7gMv1”ni quien lo aguante ahora,N
"en los momentos mas dificiles,conoces a los amigos de verdad.",P
@Backer_Skipper haste eso como esta moviendo no va muy lleno pero no mms literal va a vuelta de rueda :'(,N
Sherlock Holmes de mis películas favoritas,P
Algo bueno pasara en mi vida y cambiara por completo lo presiento ! :D,P
@MarianaBro0ke :333 luv you! ;33,P
@paurubio  @chuinavarro  #Boyswillbeboys Los amo :3 Cantan super #excellentduet http://t.co/fwAILApK9b,P
"@Jennylara_211 jajaja' estoy afuera de tu ksa jajaja que buen chiste, okn0' :",P
@AlejandraNuez7 lo siento por la mala palabra pero Jajaja solo me acorde de ti http://t.co/6O78lvCbmC,O
@_FerFarias ay :(,N
Paciencia paciencia ven a mi!,O
"¿Cómo conectar nuestra verdadera naturaleza, con esa chispa de divinidad que vive en el interior de nosotros?",O
No mms que estoy haciendole el trabajo de proyecto de vida al walde  y el valiendo madre,N
Bésame mucho.,P
@yaleidygaby hoy me siento o me senti de alas caidas.,N
@pppattty te pasas eeee,O
"Verte en línea,tener la necesidad de hablarte..pero no hacerlo por temor a que se moleste más de lo que ya está..",O
Pos oiga ya no tengo con quien hablar,O
Diferencia entre un Nerd y un Geek,O
@rodrigocodbo2 ¡quiero un helado!,P
"@GloriaTrevi YA TE FUISTE MI BONITA, TENGO TANTA FE EN CONOCERTE Y ABRAZARTE TAN FUERTE",P
"Mi hermano y mi cuñada que me sacan de mi casa,le dan armas a mi papá para que diga que la vivo de… http://t.co/gsYPBMJJmI",N
Esa sensación de esperar un msj de ella mientras le vales 20 u.u la triste verdad,N
Volver.a sonreir como antes,O
La luna está más lejos que tú y la veo todas las noches...,O
Algo así :3 http://t.co/uQsDpnw7Sw,O
@vic_metafora Gracias :),P
"Le damos a la cuerda , abdominales y ya acabamos #boxtime  ?????? http://t.co/TdxP9j7ejZ",P
Estás cambiando mi cabeza para que te haga lugar.,O
@Cinthia_R17 @Carlos_Ayala14 Jajajaajaj sii creooooooo! ahora resulta!! jajajajaajaj,P
rezando en mi jardín cerré lo ojos  http://t.co/kMDawFGfwT y cuando  los abrí  estaba frente a mi revoloteando un hermoso colibrí fue lindo,P
@MishellMc piénsalo bien cada número jaja.,O
chinga tu madre!,N
Lo que es tener 3 horas libres y mucho cerro que explorar @ Facultad Ciencias Políticas Y Admon… http://t.co/mqH2PtTJMu,O
El orgulloso y grandote Gus Ramos,P
Jajajaa,P
“@rContenido: Personas con problemas de autismo podrán trabajar en esta empresa http://t.co/dXfKDCQNJd”//guau me encanto esta nota!!!!,P
O humo de una chimenea muy grande!!!!,O
"@CFE_VM_Centro En la colonia Campiña de Aragón ubicada en el Mpio. De Ecatepec, Edo. De México #NoHayLuz desde hace más de hr y 1/2. Ayuda!",N
@camiorantes1. @AndreaAlegria_  que orgullo su trabajo hahahhahah,P
Alineación del América: ,O
—3 Vendedores de Bon-Ice. ,O
—2 Panaderos. ,O
—3 Taxistas.,O
—1 Microbusero. ,O
—2 Tragafuegos.,O
@DonRambaro GUACALAAAAAAAAAAAAAAAAAAAAA!,N
I hate having bronchitis -.-,N
Amo la versión Heart Attack en el Walmart Soundcheck.,P
"- Nada, estoy bien... http://t.co/6QknOT7isx",O
"De verdad q todo en la vida es actitud, hoy cn varios temas q resolver la enfermedad m dejo laborar claro después m lo cobrara y yo sonreiré",O
"I'm at Parisina (Tampico, Tamaulipas) http://t.co/6u4IMlH1Zh",O
llega ya!!,O
@hipsterkyouko seno tu sabrás XD,O
Lluvia mil.,O
@AzaaEscayola estoy en mi pueblo jajaja,O
"I'm at Centro Cultural Villahermosa (Villahermosa, TAB) http://t.co/9azxKkj9yT",O
@GloriaTrevi nos puedes conceder un deseo? @mimedina1216 @TreviNaci @lezliegarcialg @GoldGirlG @THALISMANTHAPIA saludanos a todas porfa!,P
Ahora sé que vinotinto es un equipo de fútbol.,O
Lets get out of here (@ San Andrés Cholula) http://t.co/VUCsjET6vZ,N
Al vga,N
@EJerezESPN Saludos desde Guatemala,O
Lo que uno puede hacer en Photoshop..Me quedo lindo VIEJO.':) http://t.co/CS3ng7Rlm4,P
Me apodan ... Dr. Corazón ;) :D,P
"Luego porque se quitan la vida los demas.... Por sus pinches actitudes,  y sus estupideces.  Ptm!' Todo al Carajo, Mierda. -.-' .l. Fuck You",N
y ya no faltare la próxima semana empiezan mis evaluaciones.,O
@mjdurazo No se usa ya llorar simple ya paso de moda,N
@Terceramex arranca la semifinal de ida celaya vs miguel aleman http://t.co/Xm3Rbv61Db,O
Awwwwww?,P
"Me siento "" classaphobic "" ",N
Creo que soy la única persona a la que no le gustan en absoluto los Beatles,N
Abra cadabra patas de cabra que aparesca una cama ya!,O
@sexiqueenharley lastima que no enseña pezón,N
@AutocinemaC eso el payaso? Échenle una leída a la novela,P
Estado sentimental: ,O
Imprimiendo curriculums....!!,P
@anny_cam Loquiando beb y tu?,P
@DanVazgo 85 es de mediocres...,N
“@nachoarvizu: “@Dinero_Exc: ¿Cómo luchar contra el 'mal del puerco' y su impacto en la productividad? http://t.co/g84PQghBtB” mira @Farar”,O
@FanniTM Y si quieres te presto el mío jajajajaja,P
@Coreallan @AtRoCItuSrED pinches pretestos de seguro andabas haciendo tus joteses,N
@Omarrdguez .-. Que gracioso.,P
Sufro la maldición de tlaloc !!,N
"@victorcrranza @Happily_Day @Itzel_Santiiago Bueno, Menos Victor, Menos Víctor ;) Jajajaja Chismoso, Na, Para Nada Jajaja",P
"Un novio, un novio queeeee ....",P
Un 100 #hope,P
"Esa lluvia en Huajuapan solo trajo más calor, pero que bueno que Tláloc ya se hizo presente #TwitterOax",P
"Te odio,",N
"te quiero,",P
"me cagas,",N
"me encantas,",P
"lárgate,",N
"regresa,",P
"muérete,",N
"perdón,",P
"vete,",N
"quédate,",P
"maldito,",N
"nocierto, ",P
Te amo.,P
@karenina_ana Pues ya que n.n,N
"@mariofmorales jajaja no! Pero ps que tal si me voy a ""las higueras"" y ps se me va a ver esa nacada jajajaj",P
Pero era bonito eso :3,P
"@Emeliiis si, yo igual confirmo, tu mirada y tu voz me encita *sm*",P
Buenas noches amigos tuiteros!!!!,P
"Para mi siguiente truco, ¡Necesito una lancha!",O
CalorOOOONNN!!,N
Recuerdo cuando @SiPeroGeme_  me llegaba al hombro :((,N
@esteban_brv @omarbrv cual.novela ess??? Cuentenn cuentennn,O
El pote salvo la vida de mi novia,P
